Name,Education Level,No of Related Publications,Total Publication,Research Gate URL,TUC URL
Daniel Pietschmann,PhD,5,49,https://www.researchgate.net/profile/Daniel-Pietschmann/,https://www.tu-chemnitz.de/phil/imf/mp/professur/pietschmann.php#articles
Peter Ohler,PhD,7,125,https://www.researchgate.net/profile/Peter-Ohler,https://www.tu-chemnitz.de/phil/imf/mp/professur/inhaber.php
Maximilian Eibl,PhD,8,123,https://www.researchgate.net/profile/Maximilian-Eibl,https://www.tu-chemnitz.de/informatik/mi/team.php
Sören Totzauer,masters,1,12,https://www.researchgate.net/profile/Soeren-Totzauer/,https://www.tu-chemnitz.de/informatik/mi/team.php
Guido Brunnett,PhD,18,182,https://www.researchgate.net/profile/Guido-Brunnett,https://www.tu-chemnitz.de/informatik/HomePages/GDV/professurinhaber.php
Arne Berger,PhD,1,59,https://www.researchgate.net/profile/Arne_Berger/,https://www.tu-chemnitz.de/informatik/mi/team.php
Mario Lorenz,PhD,1,11,https://www.researchgate.net/profile/Mario-Lorenz-3/,https://www.tu-chemnitz.de/informatik/HomePages/GDV/mitarbeiter.php
Hoa Tran Duy,masters,1,2,https://www.researchgate.net/profile/Hoa-Tran-Duy,
Luigi Pelliccia,PhD,4,17,https://www.researchgate.net/profile/Luigi-Pelliccia/publications,https://www.tu-chemnitz.de/mb/FabrPlan/prof_mitarbeiter.php
John Nassour,PhD,1,27,https://www.researchgate.net/profile/John-Nassour,https://www.tu-chemnitz.de/informatik/KI/staff/
Mahda Noura,masters,1,20,https://www.researchgate.net/profile/Mahda-Noura,https://vsr.informatik.tu-chemnitz.de/about/people/mahdanoura/
Philipp Klimant,PhD,1,70,https://www.researchgate.net/profile/Philipp-Klimant/,https://www.tu-chemnitz.de/mb/psp/professur/teamabt.php
Kalja Kanellopoulos,masters,1,9,https://www.researchgate.net/profile/Kalja-Kanellopoulos,
Vera Fink,masters,2,11,https://www.researchgate.net/profile/Vera-Fink/,https://www.tu-chemnitz.de/informatik/mi/team.php
Stefan Kahl,masters,1,17,https://www.researchgate.net/profile/Stefan-Kahl,https://www.tu-chemnitz.de/informatik/mi/team.php
Amirhossein Jamalian,masters,3,19,https://www.researchgate.net/profile/Amirhossein-Jamalian-2/,https://www.tu-chemnitz.de/informatik/KI/staff/
Michael Storz,masters,1,19,https://www.researchgate.net/profile/Michael-Storz-3/,https://www.tu-chemnitz.de/informatik/fakultaet/pvz/index.php?user_id=storz
Claudia Fraas,PhD,1,30,https://www.researchgate.net/profile/Claudia-Fraas,https://www.tu-chemnitz.de/phil/imf/mk/emeriti.php